./analysis/mapping/SRR6502193.genes.results	./analysis/mapping/SRR6502196.genes.results	./analysis/mapping/SRR6502199.genes.results	./analysis/mapping/SRR6502202.genes.results	./analysis/mapping/SRR6502205.genes.results	./analysis/mapping/SRR6502208.genes.results
AI661453	0.12	0.00	0.00	0.00	0.00	0.00
AI662270	484.58	90.92	48.14	8.95	1.04	3.79
AI837181	11.03	4.57	5.93	29.40	31.88	27.96
AI839979	31.67	44.72	41.96	42.25	50.27	40.38
AI847159	0.00	0.00	0.00	0.00	0.00	0.00
AI854703	2.43	0.00	0.00	0.00	0.00	0.00
AI987944	25.18	10.10	19.93	10.55	6.82	7.93
AU015228	0.00	0.00	0.00	0.00	0.00	0.00
AU015791	0.00	0.00	0.00	0.00	0.00	0.00
AU015836	0.00	0.00	0.00	0.00	0.00	0.00
AU016765	0.00	0.00	0.00	0.00	0.00	0.00
AU018091	0.00	0.00	0.00	0.00	0.08	0.00
AU019990	0.00	0.00	0.00	3.81	14.79	12.57
AU020206	54.46	7.14	1.44	0.30	0.42	0.00
AU021063	0.00	0.00	0.00	0.00	0.00	1.37
AU021092	0.00	0.00	0.00	0.00	0.00	0.00
AU022252	5.89	1.52	2.81	0.53	0.60	0.54
AU022754	0.00	0.00	0.00	0.00	0.00	0.00
AU022793	0.00	0.00	0.00	0.00	0.00	0.00
AU023762	0.00	0.00	0.00	0.00	0.00	0.00
AU040320	24.61	28.44	47.66	24.87	26.30	24.82
AU040972	0.00	0.00	0.35	0.00	0.00	0.00
AU041133	8.61	1.42	1.13	0.00	0.00	0.00
AU041480	0.00	0.00	0.00	0.00	0.00	0.00
AV039307	0.82	0.00	0.31	0.00	0.00	0.00
AV051173	0.53	0.00	0.00	0.00	0.00	0.00
AV064505	0.00	0.00	0.00	0.00	0.00	0.00
AV099323	1.67	0.25	0.42	0.00	0.00	0.00
AV205837	0.00	0.00	0.00	0.00	0.00	0.00
AV320801	0.00	0.00	0.00	0.00	0.00	0.00
AW011738	0.00	0.29	0.99	13.40	43.49	27.78
AW046200	2.02	0.00	0.89	0.00	0.77	1.05
AW047730	0.00	0.00	0.00	0.00	0.00	0.00
AW112010	11.32	6.27	5.89	2.68	0.00	4.26
AW121686	0.07	0.30	0.00	0.00	0.00	0.30
AW146154	6.70	1.42	5.04	0.22	0.08	0.21
AW209491	64.41	65.57	40.71	4.37	9.06	5.42
AW495222	0.00	0.00	0.00	0.00	0.00	0.00
AW549542	0.00	0.00	0.00	0.00	0.00	0.00
AW549877	28.24	18.19	20.63	21.03	26.19	22.30
AW551984	0.00	0.00	0.00	0.00	0.00	0.00
AW554918	5.50	5.38	5.74	1.75	1.52	1.37
AW822252	0.00	0.00	0.00	0.00	0.00	0.00
AY036118	3460.43	2731.79	3750.24	1682.31	1599.63	2304.65
AY074887	0.00	0.00	0.00	0.00	0.00	0.00
AY358078	0.00	0.00	0.00	0.00	0.00	0.00
AY512915	0.00	0.00	0.00	0.00	0.00	0.00
AY512931	0.00	0.00	0.00	0.00	0.00	0.00
AY702102	0.00	0.00	0.00	0.00	0.00	0.00
AY702103	0.00	0.00	0.00	0.00	0.00	0.00
AY761185	0.00	0.00	0.00	0.00	0.00	0.00
Aaas	145.68	73.22	27.29	9.34	18.07	15.78
Aacs	44.77	48.29	81.41	199.58	180.89	192.73
Aadac	0.00	0.00	0.00	0.00	0.00	0.00
Aadacl2	0.00	0.00	0.00	0.00	0.00	0.00
Aadacl2fm1	0.00	0.00	0.00	0.00	0.00	0.00
Aadacl2fm2	0.00	0.00	0.00	0.00	0.00	0.00
Aadacl2fm3	0.00	0.00	0.00	0.00	0.00	0.00
Aadacl3	0.00	0.00	0.00	0.00	0.00	0.00
Aadacl4	0.00	0.00	0.00	0.00	0.00	0.00
Aadacl4fm1	0.00	0.00	0.00	0.00	0.00	0.00
Aadacl4fm2	0.00	0.00	0.00	0.00	0.00	0.00
Aadacl4fm4	0.00	0.00	0.00	0.00	0.00	0.00
Aadacl4fm5	0.00	0.00	0.00	0.00	0.00	0.00
Aadat	0.00	0.00	0.00	0.00	0.00	0.00
Aagab	136.03	69.07	72.41	73.38	105.03	104.50
Aak1	8.18	7.55	7.29	2.80	7.09	4.38
Aamdc	11.04	3.05	2.61	1.65	1.11	0.51
Aamp	367.67	98.61	131.78	149.97	174.91	160.20
Aanat	0.00	0.05	0.15	1.01	0.60	1.39
Aar2	58.19	16.30	22.19	6.93	8.90	8.90
Aard	0.00	0.00	0.00	0.00	0.00	0.00
Aars	84.98	35.96	22.56	3.21	5.85	7.15
Aars2	33.04	4.13	5.25	1.27	0.32	1.61
Aarsd1	225.26	63.06	18.97	0.80	1.33	1.62
Aasdh	10.17	3.04	1.16	0.92	0.00	0.48
Aasdhppt	54.90	13.49	9.04	2.64	5.48	2.70
Aass	0.00	0.00	0.00	0.00	0.00	0.00
Aatf	102.43	15.30	14.88	21.85	26.98	14.52
Aatk	21.90	11.61	37.92	74.89	69.65	114.56
Abat	0.00	0.00	0.00	0.00	0.00	0.00
Abca1	0.40	0.16	0.67	1.89	3.21	5.37
Abca12	0.00	0.00	0.00	0.00	0.00	0.00
Abca13	1.95	41.87	51.79	2.15	0.72	1.41
Abca14	0.00	0.00	0.00	0.00	0.00	0.00
Abca15	0.00	0.00	0.00	0.00	0.00	0.00
Abca16	0.00	0.00	0.00	0.00	0.00	0.00
Abca17	0.00	0.00	0.00	0.00	0.00	0.00
Abca2	28.33	5.61	5.44	6.87	7.39	7.32
Abca3	21.26	6.37	15.81	13.76	12.65	20.30
Abca4	0.31	0.00	0.00	0.00	0.00	0.00
Abca5	0.00	0.00	0.00	0.00	0.00	0.00
Abca6	0.00	0.00	1.31	0.00	0.00	0.00
Abca7	49.40	44.24	84.94	103.45	91.66	106.37
Abca8a	0.00	0.00	0.00	0.00	0.00	0.00
Abca8b	0.00	0.00	0.00	0.00	0.00	0.00
Abca9	3.89	0.00	2.47	2.26	1.28	3.94
Abcb10	52.88	23.20	12.03	2.66	0.65	1.61
Abcb11	0.00	0.00	0.00	0.04	0.15	0.42
Abcb1a	0.53	0.00	0.00	0.00	0.00	0.00
Abcb1b	17.01	0.00	2.08	0.10	0.00	0.00
Abcb4	0.06	0.05	0.62	0.00	0.00	0.21
Abcb5	0.00	0.00	0.00	0.00	0.00	0.00
Abcb6	30.01	3.75	6.78	1.12	0.00	0.00
Abcb7	41.59	16.62	16.06	0.62	0.56	1.65
Abcb8	87.83	5.25	8.37	0.70	0.18	0.00
Abcb9	1.60	3.36	5.55	1.81	2.17	0.82
Abcc1	31.94	12.61	10.84	1.86	3.56	2.21
Abcc10	3.51	0.89	2.70	2.59	2.71	2.60
Abcc12	0.00	0.00	0.00	0.00	0.00	0.00
Abcc2	1.99	0.84	1.11	0.10	0.00	0.55
Abcc3	0.16	0.87	0.83	3.17	1.15	1.55
Abcc4	43.77	30.80	24.55	6.36	5.90	8.63
Abcc5	17.84	47.51	70.66	11.05	6.86	8.03
Abcc6	0.00	0.00	0.00	0.00	0.00	0.00
Abcc8	0.00	0.07	0.00	0.43	0.00	0.05
Abcc9	0.00	0.00	0.00	0.00	0.00	0.00
Abcd1	105.47	63.31	130.41	47.39	69.12	57.11
Abcd2	60.28	45.37	81.10	69.69	42.74	72.87
Abcd3	54.78	58.70	35.34	2.78	3.48	1.39
Abcd4	10.39	3.83	6.11	7.54	9.48	5.17
Abce1	236.64	41.88	23.82	2.83	5.69	4.57
Abcf1	94.04	25.89	27.26	11.75	15.06	13.73
Abcf2	199.01	71.46	68.23	10.93	20.47	9.85
Abcf3	49.22	24.42	31.66	31.35	34.01	29.96
Abcg1	12.78	7.45	11.16	113.69	183.11	125.27
Abcg2	35.45	4.31	3.36	2.14	1.28	0.81
Abcg3	0.97	4.02	3.60	25.71	42.12	40.94
Abcg4	0.00	0.00	0.28	0.15	0.21	0.00
Abcg5	0.00	0.00	0.00	0.00	0.11	0.00
Abcg8	0.00	0.00	0.00	0.00	0.00	0.00
Abhd1	1.84	3.20	2.17	4.92	4.87	4.95
Abhd10	47.98	59.67	33.33	58.64	20.72	15.33
Abhd11	193.38	36.45	17.03	16.34	30.42	27.73
Abhd11os	0.00	0.00	0.00	0.00	0.00	0.00
Abhd12	63.99	39.58	40.94	22.78	26.17	30.29
Abhd12b	0.00	0.21	0.88	2.14	1.79	2.57
Abhd13	5.72	16.82	13.65	9.82	13.41	11.07
Abhd14a	77.09	2.05	0.96	0.00	0.00	0.00
Abhd14b	46.57	0.12	3.50	0.00	0.00	0.72
Abhd15	27.21	3.25	10.57	121.18	132.16	137.60
Abhd16a	125.65	76.47	118.93	80.80	93.09	71.59
Abhd16b	0.00	0.19	0.00	0.00	0.00	0.00
Abhd17a	22.51	20.51	16.28	9.55	10.03	9.60
Abhd17b	8.74	10.49	6.30	3.08	9.46	3.82
Abhd17c	12.21	13.58	4.01	1.55	6.14	1.76
Abhd18	4.89	4.64	3.68	3.45	5.90	4.29
Abhd2	14.68	8.96	17.94	17.90	15.12	26.39
Abhd3	0.00	0.00	0.00	0.00	0.00	0.00
Abhd4	108.31	11.99	11.33	38.24	65.37	68.42
Abhd5	32.27	161.02	144.22	29.23	15.68	20.26
Abhd6	2.89	0.08	0.00	0.00	0.00	0.00
Abhd8	26.02	11.03	10.00	2.97	7.32	8.31
Abi1	102.17	104.23	147.26	166.19	192.69	184.78
Abi2	13.98	0.23	0.74	0.28	0.10	0.04
Abi3	3.45	1.27	4.54	20.99	49.95	36.81
Abi3bp	0.00	0.04	0.00	0.00	0.00	0.00
Abitram	37.95	7.86	6.63	2.15	1.00	3.16
Abl1	23.89	7.38	10.29	3.18	4.90	5.52
Abl2	4.78	0.97	0.89	0.99	2.67	1.88
Ablim1	9.82	0.27	1.66	0.66	0.54	2.91
Ablim2	0.74	0.00	0.00	0.00	0.00	0.00
Ablim3	0.00	0.00	0.00	0.00	0.00	0.00
Abo	0.00	0.00	0.00	0.00	0.00	0.00
Abr	43.97	68.66	100.05	164.60	254.61	226.90
Abra	0.00	0.10	0.18	0.11	0.00	0.00
Abracl	61.14	81.65	42.15	36.19	45.51	24.41
Abraxas1	36.29	10.03	5.87	1.40	1.02	1.41
Abraxas2	62.12	54.98	44.03	30.58	45.05	45.93
Abt1	20.87	8.87	3.84	5.98	6.57	4.75
Abtb1	71.15	174.25	500.44	1195.38	983.22	1282.85
Abtb2	0.58	7.55	27.26	93.99	111.37	132.91
Acaa1a	144.87	48.25	118.17	216.33	276.09	240.44
Acaa1b	0.40	0.00	0.00	0.00	0.50	0.69
Acaa2	340.60	89.29	83.14	47.89	62.91	42.65
Acaca	15.88	4.24	2.24	0.10	0.03	0.02
Acacb	0.22	0.00	0.00	0.00	0.00	0.00
Acad10	11.12	2.26	1.69	1.43	2.56	2.63
Acad11	26.99	35.05	65.96	13.37	5.18	8.88
Acad12	5.65	1.10	1.55	6.67	6.91	8.06
Acad8	67.59	26.78	65.19	9.01	12.51	7.83
Acad9	110.56	24.88	19.09	3.33	2.09	1.83
Acadl	151.72	142.85	119.59	22.89	18.21	77.74
Acadm	96.84	37.15	44.68	30.82	35.02	26.76
Acads	115.61	20.76	25.18	6.37	8.29	12.69
Acadsb	33.64	27.26	34.12	20.17	34.89	23.57
Acadvl	96.94	51.13	69.45	59.65	66.81	64.76
Acan	0.00	0.00	0.00	0.00	0.00	0.00
Acap1	83.05	151.21	266.27	251.41	165.35	169.76
Acap2	26.60	55.06	57.84	64.62	76.82	69.70
Acap3	11.02	25.26	41.08	7.54	7.38	5.88
Acat1	146.22	36.79	23.51	5.92	8.48	4.04
Acat2	78.34	15.62	11.88	10.15	19.48	6.95
Acat3	0.37	0.00	0.00	0.00	0.28	0.00
Acbd3	17.81	7.67	13.25	13.29	17.70	14.24
Acbd4	5.41	1.85	0.76	3.03	1.85	2.16
Acbd5	13.70	6.61	17.64	28.00	47.73	52.57
Acbd6	17.74	39.38	30.71	5.21	4.68	5.23
Acbd7	0.00	0.00	0.00	0.00	0.00	0.00
Accs	17.99	1.77	2.76	0.00	0.00	0.00
Accsl	0.00	0.00	0.00	0.00	0.00	0.00
Acd	125.08	67.16	64.75	19.72	31.28	25.26
Ace	0.00	0.10	2.38	0.11	0.08	1.01
Ace2	0.00	0.00	0.00	0.43	0.38	0.82
Ace3	0.00	0.00	0.00	0.00	0.00	0.00
Acer1	0.00	0.20	0.00	0.00	0.00	0.00
Acer2	2.51	0.00	0.28	0.27	0.25	1.15
Acer3	87.25	38.71	26.29	6.32	20.38	9.31
Ache	0.00	0.00	0.00	0.35	0.45	0.11
Acin1	22.09	15.58	18.89	12.50	16.58	11.48
Ackr1	0.00	0.00	0.00	0.00	0.00	0.00
Ackr2	0.22	0.00	0.31	0.00	0.00	0.00
Ackr3	0.00	0.00	0.00	0.00	0.00	0.00
Ackr4	0.68	0.08	0.67	0.65	0.00	0.00
Acly	224.94	148.48	224.17	82.65	96.88	80.74
Acmsd	0.00	0.00	0.00	0.00	0.00	0.00
Acnat1	0.00	0.00	0.00	0.00	0.00	0.00
Acnat2	0.00	0.00	0.00	0.00	0.00	0.00
Aco1	30.18	8.20	9.87	2.35	1.93	3.79
Aco2	294.55	106.93	124.22	52.90	72.67	63.49
Acod1	0.00	1.06	1.12	81.51	84.84	63.38
Acot1	20.05	24.01	57.98	67.76	103.74	55.93
Acot10	0.49	0.24	0.47	1.32	0.20	0.18
Acot11	3.97	2.45	4.02	0.51	0.09	0.20
Acot12	0.00	0.00	0.00	0.00	0.00	0.00
Acot13	12.82	11.40	5.84	14.18	15.27	11.89
Acot2	8.94	1.91	2.44	13.35	24.92	14.22
Acot3	0.25	0.00	0.00	0.00	0.00	0.00
Acot4	0.46	0.00	0.00	0.00	0.35	0.00
Acot5	0.00	0.00	0.00	0.00	0.00	0.00
Acot6	1.69	0.00	0.00	0.00	0.00	0.00
Acot7	381.11	55.54	26.97	136.91	117.68	98.15
Acot8	36.80	48.15	22.85	24.37	27.60	24.77
Acot9	203.57	100.51	85.51	126.68	86.72	68.66
Acox1	19.40	11.34	26.81	11.64	10.87	10.16
Acox2	0.00	0.00	0.00	0.00	0.00	0.00
Acox3	48.28	33.00	74.50	70.84	67.22	87.72
Acoxl	0.22	0.00	0.00	0.00	0.00	0.00
Acp1	77.50	31.24	20.32	11.81	13.24	9.64
Acp2	25.91	12.82	17.49	8.23	10.04	7.10
Acp4	0.14	0.00	0.00	0.00	0.35	0.00
Acp5	12.85	9.46	49.59	1.41	1.97	2.19
Acp6	83.84	26.24	9.34	1.26	0.80	1.82
Acp7	0.00	0.00	0.00	0.00	0.00	0.00
Acpp	2.27	35.42	75.05	43.80	45.55	43.29
Acr	0.00	0.00	0.00	0.00	0.00	0.00
Acrbp	9.98	2.46	7.08	17.27	45.87	48.86
Acrv1	0.00	0.00	0.00	0.00	0.00	0.00
Acsbg1	0.00	0.00	0.00	0.06	0.00	0.00
Acsbg2	0.00	0.00	0.00	0.00	0.00	0.00
Acsbg3	0.00	0.42	0.34	0.00	0.00	0.00
Acsf2	2.89	0.00	0.00	0.00	0.18	0.15
Acsf3	27.45	4.93	9.38	0.00	0.19	0.00
Acsl1	83.65	233.63	336.29	180.79	132.86	137.38
Acsl3	4.10	1.22	2.05	0.00	0.53	0.55
Acsl4	25.95	18.09	21.71	10.13	7.78	8.31
Acsl5	291.62	135.55	123.80	65.41	76.69	93.26
Acsl6	0.00	0.00	0.00	0.00	0.00	0.00
Acsm1	0.00	0.00	0.00	0.00	0.00	0.00
Acsm2	0.00	0.00	0.00	0.00	0.00	0.00
Acsm3	0.00	0.00	0.00	0.00	0.00	0.00
Acsm4	0.00	0.00	0.00	0.00	0.00	0.00
Acsm5	0.00	0.00	0.00	0.00	0.00	0.00
Acss1	49.63	3.39	8.45	1.69	0.21	2.28
Acss2	6.70	8.74	13.03	45.59	69.72	76.97
Acss2os	0.00	0.00	0.00	0.00	2.62	1.80
Acss3	0.00	0.00	0.00	0.00	0.00	0.00
Acta1	0.00	0.00	0.00	0.00	0.00	0.00
Acta2	0.91	1.19	6.93	135.34	97.22	88.64
Actb	5175.95	15902.41	18240.00	27857.27	20079.73	24726.34
Actbl2	0.00	0.00	0.00	0.00	0.00	0.00
Actc1	0.00	0.00	0.00	0.00	0.00	0.00
Acte1	0.00	0.00	0.00	0.00	0.00	0.00
Actg1	3191.04	5036.69	8981.74	8364.85	6687.47	7380.97
Actg2	0.00	0.00	0.00	0.00	0.00	0.00
Actl10	0.00	0.00	0.00	0.00	0.00	0.00
Actl11	0.00	0.00	0.00	0.00	0.00	0.00
Actl6a	222.80	94.07	53.68	3.73	2.05	2.48
Actl6b	0.00	0.00	0.00	0.00	0.00	0.00
Actl7a	0.00	0.00	0.00	0.41	1.15	1.75
Actl7b	0.00	0.00	0.00	0.29	3.08	2.81
Actl9	0.00	0.00	0.00	0.00	0.00	0.00
Actn1	1.67	29.68	55.87	49.01	36.46	41.83
Actn2	0.00	0.00	0.00	0.00	0.00	0.00
Actn3	0.07	0.00	0.00	0.00	0.00	0.00
Actn4	197.55	287.70	220.06	74.31	80.68	89.27
Actr10	45.29	40.09	40.60	33.65	37.60	36.12
Actr1a	164.13	120.28	135.48	107.68	128.86	126.03
Actr1b	86.90	41.10	46.23	38.13	59.48	53.59
Actr2	272.25	320.59	336.44	383.52	353.19	329.27
Actr3	1117.65	1708.41	2378.34	1384.64	1074.38	1198.23
Actr3b	1.92	0.00	0.00	0.00	0.00	0.00
Actr5	4.17	4.31	3.41	0.82	1.99	0.00
Actr6	40.45	26.33	16.22	7.91	13.21	7.25
Actr8	69.54	44.01	64.31	37.45	50.96	36.68
Actrt1	0.00	0.00	0.00	0.00	0.00	0.00
Actrt2	0.00	0.00	0.00	0.00	0.00	0.00
Actrt3	0.00	0.00	0.00	0.00	0.00	0.00
Acvr1	0.46	0.00	0.05	0.00	0.00	0.00
Acvr1b	7.41	8.27	13.10	10.23	7.15	8.97
Acvr1c	0.00	0.00	0.00	0.00	0.00	0.00
Acvr2a	3.05	2.00	1.88	1.06	2.22	1.88
Acvr2b	0.92	0.09	0.00	0.00	0.02	0.00
Acvrl1	0.69	5.33	132.71	24.22	2.37	3.55
Acy1	92.42	4.17	1.39	0.00	0.41	0.00
Acy3	5.27	0.00	0.00	0.00	0.00	0.00
Acyp1	5.16	9.19	4.70	6.28	9.58	4.48
Acyp2	0.11	0.00	0.16	0.99	0.34	0.00
Ada	45.52	141.15	119.09	22.63	38.06	26.63
Adad1	0.00	0.00	0.00	0.00	0.00	0.00
Adad2	0.00	0.00	0.00	0.00	0.00	0.00
Adal	22.36	15.12	9.08	0.09	2.28	0.11
Adam10	115.24	90.42	70.24	56.15	61.27	56.35
Adam11	1.03	0.00	0.00	0.04	0.00	0.00
Adam12	0.00	0.08	0.72	0.00	0.00	0.00
Adam15	102.59	41.57	112.42	92.73	70.43	71.93
Adam17	86.10	29.48	40.01	44.34	63.74	55.19
Adam18	0.00	0.00	0.00	0.00	0.00	0.00
Adam19	0.19	0.91	10.74	106.22	93.09	123.02
Adam1a	1.82	0.15	0.77	2.83	6.80	4.21
Adam1b	0.00	0.00	0.00	0.00	0.00	0.00
Adam2	0.08	0.00	0.00	0.00	0.00	0.00
Adam20	0.00	0.00	0.00	0.00	0.00	0.00
Adam21	0.00	0.00	0.00	0.00	0.00	0.00
Adam22	0.13	1.09	1.12	0.08	0.75	0.97
Adam23	0.00	0.00	0.00	0.00	0.00	0.00
Adam24	0.00	0.00	0.00	0.00	0.00	0.00
Adam25	0.00	0.00	0.00	0.00	0.00	0.00
Adam26a	0.00	0.00	0.00	0.00	0.00	0.00
Adam26b	0.00	0.00	0.00	0.00	0.00	0.00
Adam28	0.00	0.00	0.00	0.00	0.44	0.00
Adam29	0.00	0.00	0.00	0.00	0.00	0.00
Adam3	1.25	0.16	0.00	1.04	0.13	0.79
Adam30	0.00	0.00	0.00	1.72	2.32	0.00
Adam32	0.38	0.00	0.00	0.00	0.00	0.00
Adam33	0.00	0.00	0.00	0.06	0.00	0.00
Adam34	0.00	0.00	0.00	0.00	0.00	0.00
Adam34l	0.00	0.00	0.00	0.00	0.00	0.00
Adam39	0.00	0.00	0.00	0.00	0.00	0.00
Adam4	0.98	0.19	0.00	0.29	0.61	0.00
Adam5	0.00	0.00	0.00	0.00	0.00	0.00
Adam6a	0.00	0.00	0.00	0.00	0.00	0.00
Adam6b	0.00	0.00	0.00	0.00	0.00	0.00
Adam7	0.00	0.00	0.00	0.00	0.00	0.00
Adam8	0.07	24.00	371.93	1146.39	899.62	790.29
Adam9	19.16	9.58	10.35	4.36	7.30	5.39
Adamdec1	0.00	0.00	0.00	0.32	0.33	1.82
Adamts1	0.33	0.00	0.00	0.00	0.00	0.00
Adamts10	29.51	11.89	24.88	25.62	24.36	25.34
Adamts12	0.00	0.00	0.00	0.00	0.00	0.00
Adamts13	0.00	0.00	0.00	0.00	0.00	0.00
Adamts14	0.00	0.12	0.34	0.07	0.00	0.00
Adamts15	0.00	0.00	0.00	0.00	0.00	0.00
Adamts16	0.00	0.00	0.00	0.00	0.00	0.00
Adamts17	0.07	0.00	0.00	0.00	0.00	0.00
Adamts18	0.00	0.00	0.00	0.00	0.00	0.00
Adamts19	0.00	0.00	0.00	0.00	0.00	0.00
Adamts2	0.00	0.00	0.06	0.02	0.00	0.00
Adamts20	0.00	0.00	0.00	0.00	0.00	0.00
Adamts3	4.32	0.00	0.09	0.00	0.03	0.21
Adamts4	0.00	0.00	0.14	0.00	0.00	0.00
Adamts5	0.00	0.18	0.35	0.17	0.34	0.07
Adamts6	1.51	0.00	0.23	0.00	0.00	0.00
Adamts7	0.00	0.00	0.00	0.00	0.00	0.00
Adamts8	0.00	0.00	0.00	0.08	0.11	0.31
Adamts9	0.00	0.00	0.00	0.00	0.00	0.00
Adamtsl1	0.03	0.00	0.00	0.00	0.00	0.00
Adamtsl2	0.00	0.00	0.00	0.00	0.00	0.00
Adamtsl3	0.00	2.06	2.08	0.00	0.00	0.00
Adamtsl4	0.58	1.35	5.27	1.73	3.05	6.04
Adamtsl5	0.23	0.00	0.00	0.00	0.00	0.00
Adap1	29.65	21.06	14.29	6.63	11.13	10.65
Adap2	1.32	1.12	2.14	1.82	0.53	2.93
Adar	35.32	25.33	44.02	69.06	70.94	64.17
Adarb1	0.15	0.00	0.00	0.17	0.00	0.32
Adarb2	0.00	0.00	0.00	0.00	0.00	0.00
Adat1	13.80	1.60	0.88	1.19	0.70	0.10
Adat2	9.32	4.65	1.09	0.00	0.96	0.00
Adat3	10.86	0.63	3.46	1.19	0.00	1.14
Adck1	64.34	9.97	12.38	1.65	3.25	1.37
Adck2	30.56	20.41	27.47	13.80	17.59	16.72
Adck5	28.65	1.47	0.31	0.48	1.21	0.00
Adcy1	0.00	0.00	0.00	0.00	0.00	0.00
Adcy10	0.07	0.00	0.18	0.14	0.06	0.35
Adcy2	0.00	0.00	0.00	0.00	0.00	0.00
Adcy3	5.19	4.74	8.44	3.09	2.69	1.67
Adcy4	0.00	0.00	2.07	0.31	0.54	0.14
Adcy5	0.00	0.00	0.12	0.00	0.00	0.00
Adcy6	0.92	0.00	0.00	0.00	0.00	0.12
Adcy7	50.55	28.74	32.16	9.02	10.26	9.85
Adcy8	0.00	0.00	0.00	0.00	0.00	0.00
Adcy9	2.49	3.48	4.58	0.63	0.82	0.87
Adcyap1	0.00	0.00	0.00	0.00	0.00	0.00
Adcyap1r1	0.00	0.00	0.00	0.00	0.00	0.00
Add1	64.72	83.41	133.33	96.55	88.77	95.46
Add2	0.00	0.00	0.00	0.06	0.16	0.22
Add3	48.22	90.35	183.57	130.16	117.60	105.52
Adgb	1.30	0.20	0.00	0.08	1.33	0.47
Adgra1	0.00	0.00	0.00	0.00	0.00	0.00
Adgra2	0.00	0.00	0.00	0.00	0.00	0.00
Adgra3	1.22	0.00	0.00	0.00	0.00	0.00
Adgrb1	0.00	0.00	0.02	0.19	0.68	1.24
Adgrb2	0.00	0.00	0.00	0.00	0.00	0.00
Adgrb3	0.00	0.00	0.00	0.00	0.00	0.00
Adgrd1	0.79	0.00	0.00	0.00	0.00	0.00
Adgrd2-ps	0.00	0.00	0.00	0.00	0.00	0.00
Adgre1	18.66	8.40	28.70	93.57	144.90	105.16
Adgre4	1.66	2.47	9.02	0.48	1.55	5.10
Adgre5	20.65	110.11	201.44	250.96	932.92	1250.90
Adgrf1	0.47	0.00	0.00	0.00	0.00	0.00
Adgrf2	0.00	0.00	0.00	0.00	0.00	0.00
Adgrf3	0.31	0.00	0.00	0.00	0.00	0.00
Adgrf4	0.00	0.00	0.00	0.00	0.00	0.00
Adgrf5	0.00	0.00	0.00	0.00	0.00	0.00
Adgrg1	149.66	2.39	0.65	0.00	2.82	6.57
Adgrg2	0.00	0.00	0.00	0.00	0.00	0.00
Adgrg3	324.67	317.31	330.39	147.77	73.06	73.98
Adgrg4	0.00	0.00	0.00	0.00	0.00	0.00
Adgrg5	0.00	0.50	0.00	0.00	0.00	0.00
Adgrg6	0.37	0.13	0.04	0.00	0.00	0.35
Adgrg7	7.14	2.73	3.36	0.00	0.00	0.00
Adgrl1	0.93	0.00	0.04	0.03	0.00	0.00
Adgrl2	4.84	0.00	0.00	0.03	0.00	0.00
Adgrl3	0.00	0.00	0.06	0.00	0.00	0.00
Adgrl4	82.24	7.72	7.57	2.00	1.05	0.00
Adgrv1	0.00	0.00	0.02	0.27	0.14	0.13
Adh1	0.00	0.00	0.00	0.00	0.00	0.00
Adh4	0.00	0.00	0.00	0.00	0.00	0.00
Adh5	287.04	89.27	61.08	23.55	35.49	31.40
Adh6-ps1	0.00	0.00	0.00	0.00	0.00	0.00
Adh6a	0.00	0.00	0.00	0.00	0.00	0.00
Adh6b	0.00	0.00	0.00	0.00	0.00	0.00
Adh7	0.00	0.00	0.00	0.00	0.00	0.00
Adhfe1	0.07	8.63	5.30	0.00	0.00	0.00
Adi1	200.05	12.42	4.55	2.90	0.00	0.92
Adig	0.00	0.00	0.00	0.00	0.00	0.00
Adipoq	0.00	0.00	0.00	0.00	0.00	0.00
Adipor1	130.72	306.20	546.88	1646.04	2646.01	1984.70
Adipor2	18.52	31.35	31.47	47.84	59.62	81.72
Adk	119.83	35.39	42.40	3.71	4.86	3.42
Adm	0.00	0.00	0.00	0.00	0.00	0.00
Adm2	0.00	0.00	0.00	0.00	0.00	0.00
Adnp	0.00	0.00	0.00	0.00	0.47	0.89
Adnp2	10.99	9.34	13.32	11.70	12.87	13.46
Ado	88.20	29.04	18.25	2.52	4.88	4.76
Adora1	0.00	0.00	0.22	0.00	0.00	0.00
Adora2a	5.01	0.00	1.50	0.73	0.00	0.31
Adora2b	5.09	0.00	10.20	0.00	0.15	0.14
Adora3	2.09	0.00	1.81	2.99	2.25	4.32
Adpgk	100.59	2050.74	3429.12	793.46	40.83	49.50
Adprh	150.90	222.51	236.42	356.95	469.76	394.64
Adprhl1	0.00	0.00	0.00	0.00	0.00	0.00
Adprhl2	106.28	31.01	21.17	15.61	24.13	20.64
Adprm	67.24	66.94	50.70	72.83	68.36	54.14
Adra1a	0.00	0.00	0.00	0.00	0.00	0.00
Adra1b	0.00	0.00	0.00	0.00	0.00	0.00
Adra1d	0.00	0.00	0.00	0.00	0.00	0.00
Adra2a	0.00	0.00	0.00	0.00	0.00	0.00
Adra2b	0.00	0.00	0.00	0.00	0.00	0.00
Adra2c	0.00	0.00	0.00	0.00	0.00	0.00
Adrb1	0.00	0.21	0.00	0.00	0.00	0.00
Adrb2	10.02	20.45	87.83	427.18	1246.33	701.86
Adrb3	0.00	0.00	0.00	0.00	0.00	0.00
Adrm1	221.12	103.35	81.41	76.30	91.46	78.22
Adsl	135.70	22.17	10.58	1.33	1.93	0.63
Adss	238.75	81.93	108.56	16.98	15.02	17.11
